,ID,縣市,土地面積,移轉層次,總樓層數,主要用途,主要建材,建物型態,屋齡,建物面積,車位面積,車位個數,主建物面積,陽台面積,附屬建物面積,經度,緯度,站點級別,與大眾交通最短距,與國小最短距,國小總人數,與國中最短距,國中總人數,與高中最短距,高中總人數,與大學最短距,大學總人數,與atm最短距,與post最短距,與bank最短距,與腳踏車站最短距,與醫療機構最短距,與便利超商最短距,<0.5的超商數量,<0.5公車站數,與政府最短距,縣市_區域,與百貨最短距,與高鐵最短距,人口密度,老化指數,平均收入
10,PU-11,1,0.6320691594938479,3,5,2,4,1,24.916666666666668,-0.2402256246346273,-0.8193256863726953,0.0,0.1693102535987932,0.2877863819803957,-0.2868566283357935,121.35072825770668,24.95686858673321,2.0,0.55,0.45,142.0,0.93,500.0,2.5,493.0,2.49,212.0,0.08,0.37,0.26,0.11,0.18,0.09,11.0,84.0,13.03,77,13.42,13.05,1946.61,147.86,0.005073707
11,PU-12,0,3.164701889273614,3,4,2,4,1,51.75,-0.102336449933771,-0.8193256863726953,0.0,1.001576473630157,-1.6420771089734696,-0.4384519028208025,121.55962575820908,25.05723655588728,2.0,0.81,0.32,176.0,0.33,635.0,0.78,328.0,2.95,750.0,0.05,0.38,0.3,0.14,0.08,0.1,17.0,139.0,2.23,28,2.42,4.43,9126.87,166.1,0.006299707
12,PU-13,6,0.9567625820858696,4,12,2,4,0,15.833333333333334,1.0421437000833358,-0.8193256863726953,0.0,0.5331084721441138,0.6597671432783114,-0.4384519028208025,120.29540808617809,22.78972166793105,1.0,0.53,0.25,129.0,0.77,288.0,1.0,461.0,5.34,621.0,0.16,0.29,0.18,0.11,0.08,0.17,4.0,66.0,18.89,113,11.28,11.39,924.21,161.78,0.004997252
13,PU-14,1,-0.5329096912317677,2,4,4,4,1,41.583333333333336,-1.5507473225206818,-0.8193256863726953,0.0,-1.4708935342128469,-0.9475992656328656,-0.4384519028208025,121.49255637605698,25.059649913999625,2.0,0.12,0.55,48.0,0.55,486.0,0.56,427.0,5.1,1556.0,0.05,0.51,0.06,0.1,0.03,0.05,21.0,85.0,5.99,60,5.59,2.77,1946.61,147.86,0.005073707
14,PU-15,4,-0.5462723517026162,10,15,10,4,0,3.5,-0.1184235203155372,1.46852780414957,2.0,-0.3121707479285284,-0.1080830520614228,-0.4384519028208025,120.72453017672711,24.174000899506016,4.0,2.4,0.53,219.0,1.35,18.0,1.35,6.0,1.08,9.0,0.11,0.4,0.33,0.22,0.11,0.09,8.0,55.0,7.99,2,6.69,12.95,1270.7,111.76,0.005039031
15,PU-16,6,-0.4318485630304758,5,5,4,4,1,41.583333333333336,-0.8101675467314996,-0.8193256863726953,0.0,-0.1503569213282769,-1.6420771089734696,-0.4384519028208025,120.30902018833828,22.611932343200124,1.0,0.51,0.41,45.0,0.76,111.0,0.89,546.0,1.8,458.0,0.06,0.26,0.06,0.06,0.01,0.15,16.0,59.0,1.01,110,6.49,8.46,924.21,161.78,0.004997252
16,PU-17,0,0.4559512171730239,2,5,2,4,1,41.41666666666666,-0.4355686221275069,0.7671871662717114,1.0,0.0357855575230612,0.9105982070892914,-0.4384519028208025,121.57269889484895,25.048772596937184,1.0,0.53,0.35,146.0,0.15,154.0,0.92,328.0,2.83,581.0,0.12,0.19,0.17,0.09,0.1,0.1,17.0,198.0,1.49,20,1.45,3.48,9126.87,166.1,0.006299707
17,PU-18,0,-0.3127862968927353,2,10,2,4,2,21.58333333333333,-0.7745461766004452,-0.8193256863726953,0.0,-0.9727219456760584,-0.0910197143872065,-0.4384519028208025,121.55495421580552,24.981553591084644,2.0,1.38,0.3,169.0,0.21,216.0,0.15,689.0,1.36,87.0,0.16,0.19,0.39,0.17,0.13,0.16,6.0,86.0,6.31,27,6.25,8.32,9126.87,166.1,0.006299707
18,PU-19,3,0.4339124408209225,3,6,2,4,2,29.83333333333333,-0.2626326155235165,0.9371155146562142,1.0,0.0855744272462157,0.1035023350988595,-0.4384519028208025,120.99200043477846,24.76579477074972,4.0,4.31,4.18,58.0,0.19,55.0,7.34,244.0,9.99,262.0,0.09,0.21,0.21,1.26,0.31,0.09,4.0,0.0,7.23,79,5.3,6.78,406.65,86.71,0.006554591
19,PU-20,1,-1.2296426535517313,6,24,2,4,0,13.666666666666666,-0.9290969599109884,0.629699684396977,1.0,-1.2055414898928538,-1.183073325537051,-0.0605312889638079,121.46513703654406,25.01121203548057,1.0,0.41,0.62,489.0,0.64,777.0,0.62,741.0,1.1,1556.0,0.03,0.13,0.03,0.12,0.11,0.13,14.0,170.0,0.1,67,0.47,0.34,1946.61,147.86,0.005073707
20,PU-21,1,-1.0635947737080391,7,13,3,4,0,26.916666666666668,-0.842916225722953,-0.8193256863726953,0.0,-0.5390495747351746,-1.1301769787469802,-0.4384519028208025,121.4347839901116,24.972861696785863,2.0,0.69,0.78,328.0,0.4,8.0,0.4,109.0,2.12,31.0,0.1,0.82,0.54,0.03,0.52,0.09,6.0,39.0,5.31,64,5.71,5.43,1946.61,147.86,0.005073707
21,PU-22,1,2.3150674055228264,16,21,2,4,0,29.08333333333333,1.0628270762884646,0.8768681911380726,1.0,1.2273237352158224,0.7331394952774415,-0.1566128009613488,121.6234881703762,25.042546442788552,1.0,1.53,0.74,78.0,3.08,177.0,3.08,114.0,4.76,127.0,0.25,2.28,0.2,0.4,1.78,0.25,2.0,18.0,16.34,71,16.01,10.76,1946.61,147.86,0.005073707
22,PU-23,1,-0.9001184849981257,14,29,2,5,0,14.166666666666666,0.5940038823055531,-0.0778201661494089,1.0,0.3877023412480836,0.2383027027251683,1.1180685915393611,121.46926024916006,25.011650490597752,2.0,0.43,0.3,489.0,0.3,777.0,0.3,380.0,1.13,1556.0,0.05,0.07,0.18,0.16,0.06,0.06,15.0,83.0,0.45,67,0.39,0.61,1946.61,147.86,0.005073707
23,PU-24,1,1.610691770487522,3,4,2,4,1,40.66666666666666,-0.3534096555349135,-0.8193256863726953,0.0,0.2264542972583228,0.5693314536049651,-0.4384519028208025,121.6200534721198,25.047291481636883,1.0,0.91,0.13,78.0,2.88,177.0,2.88,114.0,5.13,127.0,0.16,2.16,0.51,0.12,1.59,0.12,3.0,16.0,16.12,71,15.79,10.39,1946.61,147.86,0.005073707
24,PU-25,0,0.9980522415983116,4,5,2,4,1,38.25,-0.2626326155235165,-0.8193256863726953,0.0,0.2694537756555923,0.7570281680213444,-0.4384519028208025,121.52810977717768,25.10381927906272,2.0,0.57,0.25,90.0,0.81,367.0,0.92,241.0,1.69,77.0,0.11,0.15,0.11,0.22,0.04,0.14,14.0,143.0,8.22,24,6.22,6.31,9126.87,166.1,0.006299707
25,PU-26,3,-0.2478476123743311,10,14,2,4,0,7.0,-0.4005217902243726,0.6018932273886036,1.0,-0.7305669883861716,-0.8383939045178812,0.8469052132351903,121.02570265451205,24.82924597055129,3.0,1.97,0.59,361.0,1.1,119.0,1.1,244.0,5.25,654.0,0.06,0.98,0.77,3.3,0.37,0.06,9.0,9.0,1.33,82,5.49,2.9,406.65,86.71,0.006554591
26,PU-27,3,0.4591957480427444,3,14,2,4,0,3.6666666666666665,0.4411767136787705,1.0591549648596303,1.0,0.1104688621077927,0.6512354744412031,-0.1822345374940263,121.02718396337109,24.816975846382743,4.0,1.61,0.4,252.0,0.65,119.0,0.65,244.0,6.41,654.0,0.08,0.3,0.16,2.76,0.14,0.02,12.0,19.0,1.92,82,5.29,1.78,406.65,86.71,0.006554591
27,PU-28,5,-0.0751424358572127,5,15,2,4,0,1.4166666666666667,0.1182862295875991,0.3748071618202223,1.0,-0.1687448561692144,0.1888190234699411,-0.2270725764262122,121.29643439393816,25.00071073736937,1.0,2.17,0.12,65.0,0.12,27.0,0.91,0.0,2.92,216.0,0.16,0.34,0.22,0.3,0.2,0.16,10.0,57.0,0.98,90,2.13,8.42,1868.59,101.89,0.005368094
28,PU-29,0,0.0603347531251133,3,5,2,4,1,40.91666666666666,-0.7257104272272253,-0.8193256863726953,0.0,-0.5461218573663045,0.4242930833741261,-0.4384519028208025,121.5700994108836,25.08240292204245,2.0,0.29,0.26,161.0,0.53,63.0,0.62,495.0,0.65,42.0,0.12,0.18,0.12,0.15,0.04,0.13,23.0,322.0,5.01,21,5.09,4.9,9126.87,166.1,0.006299707
29,PU-30,1,0.5937836952311469,7,19,4,4,0,9.083333333333334,2.107912112875371,0.972645987500247,1.0,2.0726029552884646,1.637496392010906,-0.1309910644286711,121.37501611292991,25.07918715259759,2.0,7.34,0.38,160.0,0.42,490.0,0.87,454.0,2.29,65.0,0.13,0.57,0.2,0.14,0.08,0.08,11.0,234.0,11.73,68,11.75,11.51,1946.61,147.86,0.005073707
30,PU-31,0,1.6561392362256058,3,4,4,1,1,56.5,0.0286582660320423,-0.8193256863726953,0.0,0.7591386250350248,-1.6420771089734696,3.003401371402221,121.52933221909385,25.032998889826818,1.0,0.11,0.18,203.0,0.44,728.0,0.55,375.0,0.78,1358.0,0.06,0.13,0.11,0.08,0.03,0.01,21.0,133.0,3.58,26,1.66,2.08,9126.87,166.1,0.006299707
31,PU-32,2,-0.4375925843479809,9,13,2,4,0,24.25,0.6267525612970068,-0.8193256863726953,1.0,0.295196884432905,0.5846884575117597,0.1529831821418385,120.955972183461,24.80937877800165,1.0,1.79,0.47,334.0,0.19,118.0,0.19,588.0,3.91,449.0,0.22,0.25,0.24,0.15,0.06,0.24,3.0,12.0,1.34,78,1.95,8.61,4344.33,87.03,0.006841633
32,PU-33,0,0.964741724669182,6,7,2,4,2,35.083333333333336,-0.0023667982756501,-0.8193256863726953,0.0,0.453333124064969,0.4481817561180291,-0.2761809047805111,121.58982379552454,25.07974383807201,2.0,0.51,0.41,41.0,0.27,185.0,0.24,29.0,0.41,539.0,0.02,0.24,0.02,0.17,0.02,0.1,9.0,198.0,5.33,21,5.3,3.38,9126.87,166.1,0.006299707
33,PU-34,1,0.3060779245539382,4,5,2,4,1,39.833333333333336,-0.3626022671816371,-0.8193256863726953,0.0,0.100567666424211,1.2382142904342444,-0.4384519028208025,121.48438176543478,24.994610989446432,2.0,1.25,0.59,325.0,0.71,416.0,0.6,571.0,2.76,35.0,0.09,0.77,0.27,0.35,0.16,0.08,22.0,98.0,2.76,61,2.82,3.0,1946.61,147.86,0.005073707
34,PU-35,1,-0.5713633904284542,6,7,2,4,2,28.916666666666668,-0.7394993446973109,-0.8193256863726953,0.0,-0.7857307929089847,-0.3043114353149105,-0.4384519028208025,121.42842179885946,25.0261376100466,2.0,0.69,0.48,261.0,0.59,442.0,1.32,325.0,0.96,427.0,0.03,0.29,0.12,0.09,0.08,0.04,13.0,138.0,3.99,66,4.14,3.81,1946.61,147.86,0.005073707
35,PU-36,6,-1.1043797284185248,9,22,10,4,0,0.25,-0.7917823234380523,-0.4377593040911291,1.0,-1.230153033449186,0.0352489844019942,-0.0925584596296551,120.29131446126692,22.646650299757848,4.0,0.89,0.76,147.0,1.31,421.0,1.15,893.0,1.97,319.0,0.04,0.61,0.65,0.06,0.04,0.04,1.0,38.0,3.6,107,2.87,4.96,924.21,161.78,0.004997252
36,PU-37,0,0.594696970587068,4,5,2,4,1,36.16666666666666,-0.3442170438881896,-0.8193256863726953,0.0,0.371860428154353,-0.2172884131764073,-0.4384519028208025,121.49649966103928,25.14278504190017,2.0,0.89,0.63,228.0,0.83,557.0,0.54,551.0,2.93,109.0,0.18,0.19,0.36,0.05,0.19,0.18,7.0,127.0,13.55,22,10.64,10.74,9126.87,166.1,0.006299707
37,PU-38,0,1.0381642565728555,3,4,2,4,1,51.41666666666666,-0.0287955567599811,-0.8193256863726953,0.0,0.1466789491791777,-0.4698258107548087,1.5280163760622023,121.5292575730802,25.04793160769926,1.0,0.64,0.2,70.0,0.33,133.0,0.8,765.0,0.77,8.0,0.15,0.5,0.28,0.08,0.11,0.15,25.0,138.0,3.73,18,1.28,1.25,9126.87,166.1,0.006299707
38,PU-39,1,-0.4366552754300618,9,15,10,4,0,0.3333333333333333,0.1102426943967159,-0.8193256863726953,0.0,-0.226171791133989,0.0335426506345726,0.3750382320917112,121.49236317460168,25.053466307050137,2.0,0.67,0.54,48.0,0.17,181.0,0.17,427.0,4.53,1556.0,0.09,0.5,0.27,0.06,0.08,0.13,21.0,10.0,5.38,60,4.97,2.54,1946.61,147.86,0.005073707
39,PU-40,1,1.334065471891358,3,7,2,4,2,33.083333333333336,1.1708402631374684,-0.8193256863726953,0.0,2.331165608282573,1.3542449866189152,-0.4384519028208025,121.51444573159976,25.01331569692115,1.0,0.12,0.37,252.0,0.68,268.0,0.68,380.0,3.64,35.0,0.03,0.14,0.08,0.03,0.03,0.03,25.0,95.0,5.0,70,4.73,3.86,1946.61,147.86,0.005073707
40,PU-41,1,0.1317624993829586,2,4,2,4,1,45.0,-1.0675606728397649,-0.8193256863726953,0.0,-0.7735664667834413,-0.4135167964298948,-0.4384519028208025,121.47661527567568,25.00744705756157,2.0,0.77,0.61,489.0,0.6,777.0,0.6,380.0,1.91,1556.0,0.1,0.1,0.15,0.23,0.07,0.15,16.0,69.0,1.29,61,1.23,1.49,1946.61,147.86,0.005073707
41,PU-42,5,-0.7354405181883158,14,14,2,4,0,17.583333333333332,-0.1103799851246539,0.1585347184217637,1.0,-0.2210797476395757,0.1871126897025195,0.0889288408101444,121.25617525608148,24.963588728856,3.0,1.05,0.73,95.0,1.11,801.0,1.59,689.0,1.35,261.0,0.05,0.21,0.21,0.2,0.09,0.11,13.0,37.0,5.58,84,6.51,6.93,1868.59,101.89,0.005368094
42,PU-43,6,-1.0137491661243343,7,15,2,4,0,15.583333333333334,-0.5648397234095597,-0.0191176457983987,1.0,-0.8089278799390908,-0.8093862304717134,-0.0989638937628244,120.28964680723084,22.66254586992555,4.0,0.46,0.61,65.0,0.48,116.0,0.48,180.0,2.87,319.0,0.13,0.37,0.11,0.1,0.09,0.14,11.0,54.0,5.21,122,1.62,3.47,924.21,161.78,0.004997252
43,PU-44,2,-0.512072592979563,8,18,10,4,0,9.416666666666666,0.3205236858155217,0.4767641708509242,1.0,0.1257449925910334,-0.5107778211729279,0.7700400036371572,120.97814004723035,24.80575415632812,4.0,0.67,0.85,296.0,0.98,371.0,0.28,665.0,2.16,1663.0,0.09,0.47,0.28,0.04,0.04,0.09,9.0,19.0,0.93,78,0.65,6.37,4344.33,87.03,0.006841633
44,PU-45,1,0.0570661886933952,2,11,2,4,0,8.666666666666666,-0.572883258600443,0.6034380305557356,1.0,-0.748389140616619,-0.4049851275927867,-0.4384519028208025,121.428272838419,24.98318179794284,1.0,0.96,0.47,116.0,0.59,332.0,0.59,401.0,2.84,51.0,0.09,0.35,0.24,0.13,0.13,0.09,11.0,33.0,4.89,67,5.29,4.96,1946.61,147.86,0.005073707
45,PU-46,12,0.1480812879795524,13,16,6,4,0,25.75,0.1619511349095367,-0.8193256863726953,0.0,0.2357897103314142,0.1086213364011243,-0.4384519028208025,121.72094244499552,25.128980208174674,1.0,2.0,1.04,87.0,0.24,267.0,1.14,121.0,2.44,48.0,0.04,0.57,0.84,6.34,0.13,0.04,4.0,0.0,2.4,47,18.56,14.23,2723.18,196.12,0.004434616
46,PU-47,6,-0.3455680754579104,14,15,2,4,0,15.583333333333334,0.851397008413818,-0.0361104806368489,1.0,0.6901131465551973,0.4652450937922453,-0.1886399716271959,120.28841293967636,22.66217916953403,4.0,0.45,0.61,288.0,0.45,421.0,0.58,180.0,2.94,319.0,0.02,0.49,0.11,0.11,0.04,0.05,9.0,41.0,5.23,122,1.75,3.58,924.21,161.78,0.004997252
47,PU-48,1,0.1820166775206284,8,14,2,4,0,12.166666666666666,0.1832090493425857,-0.0067592204613439,2.0,-0.1141468342568919,0.161517683191195,0.6696882022175034,121.44090335496854,25.18552800917112,4.0,1.59,0.65,261.0,0.98,520.0,1.1,372.0,1.32,118.0,0.32,0.34,0.32,0.15,0.32,0.32,10.0,185.0,19.44,73,19.17,17.1,1946.61,147.86,0.005073707
48,PU-49,14,0.320041424074735,3,7,10,4,2,28.25,0.1895289698497084,-0.8193256863726953,0.0,-0.0069310295689629,0.4703640950945104,-0.4384519028208025,120.49921110998224,22.67380473416999,1.0,1.41,0.5,50.0,0.16,82.0,0.16,94.0,1.05,47.0,0.05,0.29,0.08,7.46,0.09,0.05,6.0,8.0,1.56,55,0.48,19.56,287.76,193.08,0.004095581
49,PU-50,0,1.005454578693674,4,5,2,4,1,42.66666666666666,-0.0046649511873309,-0.8193256863726953,0.0,0.797328951243126,0.5505617821633269,-0.4384519028208025,121.5266946382595,25.109078611697647,2.0,0.8,0.37,73.0,0.46,367.0,0.62,36.0,1.1,77.0,0.12,0.5,0.21,0.32,0.12,0.11,22.0,133.0,8.81,24,6.77,6.87,9126.87,166.1,0.006299707
50,PU-51,1,-0.9638314578546356,20,29,2,5,0,18.75,0.6888026899123917,2.415492145601392,2.0,0.8912488645845309,1.1170645929473089,-0.4384519028208025,121.4771851796121,25.01135442720956,2.0,0.61,0.67,489.0,0.63,777.0,0.63,380.0,1.63,1556.0,0.03,0.54,0.03,0.19,0.05,0.17,15.0,45.0,1.25,67,1.05,1.38,1946.61,147.86,0.005073707
51,PU-52,1,-0.3882036144422367,2,7,2,4,2,24.25,-0.8475125315463148,0.9556531526617966,1.0,-0.8247697930328215,-0.4391118029412194,-0.4384519028208025,121.45566792127896,25.025316277154825,2.0,1.13,0.73,80.0,0.25,425.0,1.28,212.0,1.06,1556.0,0.15,0.37,0.38,0.11,0.34,0.07,17.0,47.0,1.74,67,1.67,1.5,1946.61,147.86,0.005073707
52,PU-53,1,-1.129422700020367,4,14,2,4,0,22.666666666666668,-1.0934148930961751,1.0869614218680037,1.0,-1.1433054027389111,-0.4920081497312899,-0.4384519028208025,121.45716033956732,25.083073678801213,2.0,1.21,0.29,342.0,0.95,509.0,1.72,452.0,4.09,3550.0,0.1,0.24,0.43,0.05,0.17,0.1,12.0,56.0,7.94,76,7.66,7.17,1946.61,147.86,0.005073707
53,PU-54,1,-0.2864214793810072,10,19,10,4,0,0.5,-0.0391372448625451,0.265126136953861,1.0,-0.4516361614144093,0.0574313233784755,0.5052820594661556,121.45342477379351,25.02698431916188,2.0,1.02,0.87,80.0,0.22,425.0,1.08,212.0,1.35,1556.0,0.01,0.55,0.56,0.05,0.34,0.01,8.0,24.0,2.02,67,1.96,1.78,1946.61,147.86,0.005073707
54,PU-55,6,-1.2502634497459542,16,22,2,4,0,27.5,-0.3166392089480184,-0.8193256863726953,0.0,-0.0117401817581312,0.0727883272852702,0.1038748537875397,120.30221975088376,22.614133504576657,1.0,0.24,0.28,111.0,0.67,180.0,1.16,207.0,2.2,458.0,0.03,0.48,0.07,0.07,0.03,0.12,17.0,82.0,1.24,118,6.22,8.25,924.21,161.78,0.004997252
55,PU-56,0,0.9823583256136638,7,7,2,4,2,37.0,0.8772512286702286,-0.8193256863726953,0.0,1.6044178451076674,-0.1746300689908665,3.37278140641499,121.55471833459868,25.03710435483275,2.0,0.51,0.29,370.0,0.41,488.0,0.63,55.0,1.48,581.0,0.02,0.44,0.11,0.1,0.02,0.02,33.0,155.0,0.99,26,1.27,4.0,9126.87,166.1,0.006299707
56,PU-57,0,-0.2734914230261212,6,7,2,4,2,41.41666666666666,-0.2752724565377614,-0.8193256863726953,0.0,-0.1396070517289596,0.8082181810439932,-0.4384519028208025,121.55428246782128,25.019492206552464,2.0,0.47,0.4,160.0,0.52,152.0,0.52,452.0,0.99,581.0,0.1,0.38,0.27,0.17,0.06,0.1,16.0,121.0,2.27,26,2.32,4.92,9126.87,166.1,0.006299707
57,PU-58,0,0.1925433776757213,7,10,5,4,2,29.416666666666668,0.8979346048753574,-0.8193256863726953,0.0,1.329730387714583,0.9191298759263994,0.1209560114759914,121.5432194045406,24.99119379090396,2.0,0.31,0.31,121.0,0.22,429.0,0.47,210.0,0.29,87.0,0.06,0.27,0.06,0.04,0.08,0.07,18.0,118.0,5.6,27,5.58,6.85,9126.87,166.1,0.006299707
58,PU-59,1,-0.1547175596323559,4,5,2,4,1,44.5,-0.5809267937913262,-0.8193256863726953,0.0,0.2222109276796448,-1.6420771089734696,-0.4384519028208025,121.50132072886908,25.06517285720652,2.0,0.25,0.62,217.0,0.6,198.0,1.52,427.0,6.11,1556.0,0.11,0.23,0.07,0.17,0.03,0.1,30.0,81.0,6.96,60,6.55,2.47,1946.61,147.86,0.005073707
59,PU-60,0,-0.215931042041081,4,4,2,4,1,45.41666666666666,-1.0727315168910467,-0.8193256863726953,0.0,-0.6867188360731665,-0.9851386085161415,-0.4384519028208025,121.55548330773296,25.004510117493115,2.0,0.19,0.42,106.0,0.55,198.0,0.55,332.0,0.6,183.0,0.1,0.78,0.34,0.14,0.29,0.1,7.0,121.0,3.8,27,3.77,6.2,9126.87,166.1,0.006299707
60,PU-61,5,-0.9595775173810022,9,15,10,4,0,11.5,-0.0805039972728019,-0.0948130009878591,1.0,-0.4092024656276301,0.1888190234699411,0.0611719595664105,121.21350989297444,24.96397200325669,2.0,0.85,0.58,247.0,0.79,203.0,0.25,588.0,2.19,1007.0,0.1,0.34,0.52,0.38,0.34,0.1,7.0,31.0,9.39,84,10.52,5.43,1868.59,101.89,0.005368094
61,PU-62,5,-0.6533659039653881,8,13,2,4,0,19.0,-0.0506280094209496,0.3500903111461128,1.0,-0.251914899911302,-0.149035062479542,0.6547421892401081,121.31696933096582,25.0076743518835,1.0,2.05,0.14,272.0,0.3,341.0,1.39,790.0,4.76,216.0,0.09,0.55,0.35,0.24,0.08,0.09,12.0,40.0,2.29,90,2.0,10.4,1868.59,101.89,0.005368094
62,PU-63,1,-1.3132794493045243,11,19,2,4,0,26.33333333333333,-1.0842222814494515,-0.8193256863726953,0.0,-1.1005888156468866,-0.422048465267003,-0.2911269177579064,121.47165618265616,24.990444736188817,2.0,2.12,0.69,313.0,0.93,215.0,0.8,571.0,1.94,51.0,0.05,0.26,0.15,0.29,0.05,0.06,10.0,56.0,2.5,64,2.74,2.74,1946.61,147.86,0.005073707
63,PU-64,6,-0.7557729116385637,13,14,2,4,0,14.833333333333334,-0.0322427861275021,-0.0438344964725083,1.0,-0.1393241604237143,-1.1114073073053423,0.6099041503079224,120.32367224649576,22.67482130084557,3.0,1.76,0.28,246.0,1.15,675.0,0.96,487.0,0.68,221.0,0.09,0.57,0.71,0.34,0.25,0.09,6.0,26.0,6.15,107,2.1,2.09,924.21,161.78,0.004997252
64,PU-65,0,-0.231504790215739,7,24,2,5,0,2.6666666666666665,0.1067954650291943,1.3016890620993302,1.0,-0.0751078341330552,-0.5739121705675283,-0.4384519028208025,121.52617961113636,25.028008517902745,1.0,0.38,0.5,203.0,0.64,777.0,0.71,169.0,0.24,1358.0,0.04,0.22,0.03,0.17,0.03,0.28,20.0,200.0,4.01,26,2.25,2.41,9126.87,166.1,0.006299707
65,PU-66,3,-0.1176818405935471,13,32,2,5,0,6.25,2.6640651175021577,1.517961505497789,2.0,1.888440715573843,2.8233983603689405,0.6077690055968656,121.02674097611748,24.827060869646747,3.0,2.19,0.43,361.0,0.85,119.0,0.85,244.0,5.5,654.0,0.14,0.8,0.72,3.33,0.18,0.13,12.0,11.0,1.43,82,5.5,2.64,406.65,86.71,0.006554591
